ID per jurat,Títol,Centre,Modalitat
1,Com veu el cervell? La percepció visual,Escola Pàlcam,Salut
2,ÉS POSSIBLE CAPTAR L’ESSÈNCIA DEL BALLET DE FORMA ANALÒGICA? El ballet i la càmera minutera,EASD Llotja,Art | Música | Pensament
3,Contaminació diària,Institut Vilanova del Vallès,Naturals | Medi ambient
4,'L''autoestima en l''adolescència',Institut de Vilanova del Vallès,Socials | Comunicació | Llengua | Economia | Història
5,Estudio sobre la ventilación en el entorno escolar,IES Padre Luis Coloma,Naturals | Medi ambient
6,"'""Radiació ultraviolada: Anàlisi de l''exposició directa  reflectida i protecció ocular""'",sin nombre1,Ciències pures
7,sin nombre1,COL·LEGI SANTA MARIA,Naturals | Medi ambient
8,'Disseny i construcció d''un sistema d''autoregulació d''una casa domòtica mitjançant el registre d''empremtes dactilars amb Arduino',Escola Mare de Déu de la Salut,Tecnologia
9,La presència de la música clàssica en la música actual,Institut Vilanova del Vallès,Art | Música | Pensament
10,Prevent fresh food spoilage by use of phytochemical plant extracts,Volksrust High School,Ciències pures
11,La germinació de les patates,Carles Vallbona,Ciències pures
12,TÉCNICAS DE INGENIERÍA GENÉTICA EN LA ACTUALIDAD: APLICACIÓN EN ECOLOGÍA Y BIOMEDICINA,Col•legi Santo Ángel Gavà,Naturals | Medi ambient
13,Experimental Protocol about the Sensibility of Plants,Centrul „Alexandru Proca” pentru ințierea în cercetarea științifică a tinerilor cercetători,Ciències pures
14,'Estudi comparatiu de la flexibilitat en l''alumnat de l''ESO a l''Institut El Cairat',Institut El Cairat,Salut
15,VibroSwim,Colegio Las Acacias-Montecastelo,Tecnologia
16,Hivernacle amb sistema automatitzat,IES Damià Campeny,Tecnologia
17,EL MATERIAL DEL FUTURO Y SUS APLICACIONES EN EL CAMPO ENERGÉTICO,CPR SANTIAGO APÓSTOL,Tecnologia
18,Estrellas sobre el mar. La poesía como crónica del viaje de Agnia Bartó a la guerra civil española,IES Màrius Torres,Socials | Comunicació | Llengua | Economia | Història
19,'Estudi estadístic de la influència de les assistències en el bàsquet actual: el cas de l''Eurolliga',Escola Mare de Déu de la Salut,Ciències pures
20,DISRUPCIÓN DE LA RED ELÉCTRICA,Col•legi Santo Angel,Tecnologia
21,Estudio de la influencia del ADP cristalizado en la elaboración del vinagre de Jerez,IES San Telmo,Ciències pures
22,'DONES EN PEU DE GUERRA. ESTUDI DE LA GUERRA CIVIL ESPANYOLA DES D''UNA PERSPECTIVA DE GÈNERE',IES Montserrat Miró i Vilà,Socials | Comunicació | Llengua | Economia | Història
23,CREACIÓN DE PERFUMES CON ACEITES ESENCIALES E INVESTIGACIÓN DE LA HISTORIA Y USO DE ESTOS,Aulas Tecnópole - Parque Tecnológico de Galicia,Naturals | Medi ambient
24,STEM & Sphero: la robòtica a biologia propostes innovadores,sin nombre2,Naturals | Medi ambient
25,Positiu o negatiu? La pandèmia i els infants,Institut Vilatzara,Socials | Comunicació | Llengua | Economia | Història
26,Estudio de la población de mamíferos en 3 localizaciones navarras mediante técnicas de fototrampeo y la plataforma de ciencia ciudadana MammalWeb,IES Barañáin,Naturals | Medi ambient
27,APPtitripsina: visualització d’una malaltia minoritària,Institut Carles Vallbona,Salut
28,La nanomedicina contra el càncer no és el futur  és “avui”,sin nombre3,Salut
29,Ciència té nom de dona: estudi del reconeixement del paper de les dones a la ciència,Escola Mare de Déu de la Salut,Socials | Comunicació | Llengua | Economia | Història
30,Expedicions pirinenques durant la Guerra Civil. Vivències del meu besavi,IES Damià Campeny,Socials | Comunicació | Llengua | Economia | Història
31,'Disseny i construcció d''una dessaladora solar',Escola Mare de Déu de la Salut,Tecnologia
32,MISSIONS SENTINEL: COPERNICUS CONTRA EL CANVI CLIMÀTIC,JESUITES DE GRÀCIA (COL.LEGI KOSTKA),Naturals | Medi ambient
33,Optical Surface Tracking for Position & Orientation Sensing,iMBEWU Science Foundation,Tecnologia
34,'Càlcul dels elements orbitals i les efemèrides per cossos d''òrbites el·líptiques',INS Vila de Gràcia,Ciències pures
35,Inhibició i degradació a la via MAPK en la tumorigènesi,INS Vilatzara,Salut
36,Desafiando a las hormonas del (des)amor,Immaculada Concepció,Ciències pures
37,ESTUDI DELS PRODUCTES DE NETEJA PERILLOSOS A LES NOSTRES LLARS I POSSIBLES ALTERNATIVES,Institut El Cairat,Salut
38,IMPORTANCIA DE LA HUELLA ECOLOGICA SOBRE EL MEDIOAMBIENTE Y SU AYUDA A LA VIDA SOSTENIBLE,CPR SANTIAGO APÓSTOL,Naturals | Medi ambient
39,LEISHMANIOSIS,COL·LEGI SANTA MARIA,Salut
40,A la caza de exoplanetas. Análisis de los tránsitos de WASP-12b,IES Margarita Salas,Ciències pures
41,Leonardo da Vinci i alguns dels seus invents,Escola Mare de Déu de la Salut,Tecnologia
42,Què amaguen els somnis?,Institut Carles Vallbona,Salut
43,Desenvolupament de videojocs en 16-bits,Institut Joan Brudieu,Tecnologia
44,"'""ESTUDIO COMPARATIVO DE LA RESISTENCIA DE CINCO ACEITES (ACEITE DE OLIVA VIRGEN EXTRA ACEITE DE OLIVA VIRGEN ACEITE DE GIRASOL VIRGEN ACEITE DE GIRASOL ALTO OLEICO SIN REFINAR ACEITE DE SÉSAMO) A SU REUTILIZACIÓN""'",ins.sin nombre1,Ciències pures
45,Un recorregut virtual per La Tèrmica (Roca Umbert Granollers): gaudeix-la!,ins.sin nombre2,Socials | Comunicació | Llengua | Economia | Història
46,Cámara de Niebla Low Cost,Aulas Tecnópole,Tecnologia
47,Local Geographical Signs of Buca Kırıklar Melon and Kaynaklar Razakı Grape,Buca Municipality Kızılcullu Science and Art Center,Naturals | Medi ambient
48,Contaminació Atmosfèrica a Vilanova del Vallès,Institut Vilanova del Vallès,Naturals | Medi ambient
49,¿Es posible un sistema domótico que no comprometa tu privacidad?,Col·legi Santo Angel,Tecnologia
50,Nunca choveu que non escampara,Aulas Científico- Tecnolóxicas Isidro Parga Pondal,Naturals | Medi ambient
51,Anatomia i fisiologia de l’escoliosi: visió multidisciplinar d’un cas real,Institut Carles Vallbona,Salut
52,'L''aplicació del CRISPR en els éssers humans',Immaculada Concepció Gavà,Salut
53,APRENDIENDO EL LENGUAJE DE LAS PLANTAS,COL·LEGI SANTA MARIA,Naturals | Medi ambient
54,Investigation of the Effects of Wall Paint and Films Produced Using Aloe Vera Gel in Radiation Protection,Aden College,Naturals | Medi ambient
55,La Precisió de la Digitalització del So. Comprovació experimental de la reversibilitat del teorema de Nyquist,Institut de Vilanova del Vallès,Tecnologia
56,'El WERS. El proper pas en l''electrificació de l''automòbil.',IES Damià Campeny,Tecnologia
57,'Estudi de la sobreexpressió del factor de splicing SRRM4 i la seva relació amb l''esquizofrènia i altres malalties neuropsiquiàtriques',Pere Vives Vich,Salut
58,DE LA FOTOGRAFIA A LA TELA: ELABORACIÓ D’INDUMENTÀRIA A PARTIR D’IMATGES,EA Llotja,Art | Música | Pensament
59,'FIND MY PET: APLICACIÓ MÒBIL AUTOSUFICIENT SIMPLIFICA EL RETROBAMENT D''ANIMALS DOMÈSTICS',Maristes Rubí,Tecnologia
60,Efectos del Multilingüismo en el Cerebro,Immaculada Concepció de Gavà,Socials | Comunicació | Llengua | Economia | Història
61,BIOINFORMATIC PREDICTION OF CORONAVIRUS (SARS-COV-2) MUTATIONS THAT INCREASE CONTAGIOUSNESS,Buca Municipality Kızılcullu Science and Art Center,Salut
62,Influencia del nivel cultural en la extinción del Homo neanderthalensis en su competición con el Homo sapiens: análisis mediante el juego de contiendas.,IES Gerardo Diego,Ciències pures
63,'La Figura de la Dona al Món de l''Advocacia',Escola Mare de Déu de la Salut,Socials | Comunicació | Llengua | Economia | Història
64,'Les causes i conseqüències de l''hospitalització infantil',Institut El Til·ler,Salut
65,La cara oculta de la indústria de la moda: fast fashion i slow fashion,EASD Llotja,Art | Música | Pensament
66,La física de l’espagueti: estudi del seu trencament aplicant peses,Institut Carles Vallbona,Ciències pures
67,Bacteris superresistents. És la llum ultraviolada realment una aliada?,Institut Vilanova del Vallès,Naturals | Medi ambient
68,"'""AVALUACIÓ I COMPARACIÓ DE L''EFECTIVITAT I SEGURETAT DEL TRASPLANTAMENT DE MICROBIOTA FECAL: ANTIINFLAMATORIS I BIOLÒGICS PER AL TRACTAMENT DE LA MALALTIA INFLAMATÒRIA INTESTINAL""'",sin nombre4,Salut
69,WScientifics. Rompiendo con el efecto Matilda. Una propuesta de ciencia igualdad e inclusión.,ins.sin nombre3 ,Socials | Comunicació | Llengua | Economia | Història
70,ATTIC: CREACIÓ I PRODUCCIÓ D’UN EP MUSICAL, ins.sin nombre4,Art | Música | Pensament
71,'Rehabilitació del Vapor Casanovas per a la instauració d''un coworking',Escola Mare de Déu de la Salut,Tecnologia
72,"'""""""Cada cop que respiris t''estaré mirant""""'"," Apol·lo dixit""",Art | Música | Pensament
73,Moviments planetaris: ús dels robots Sphero en el marc del projecte Posa’t en òrbita,Institut Carles Vallbona,Naturals | Medi ambient
74,De nada. Un film de Mariona de las Heras.,Institut de Vilanova del Vallès,Art | Música | Pensament
75,The New Indigo Production,"Istituto Superiore ""E. Fermi""",Naturals | Medi ambient
76,Evolució de la Robòtica que ens envolta,Ins Manuel Carrasco i Formiguera,Tecnologia
77,Diseño y creación de un medio de realidad virtual con feedback háptico,Mare de Déu de la Salut,Tecnologia
